Component,Task_ID,Task,Timing_For_Do,Task_Group,Tracking_Mode,Planning_Window_Months,Est_Duration_Min,Required_Parts,Manual_Name,Page,Document,Source_File
Bottom Centering Pulley + Break Detector,BP-MNT-002,"Weekly: check pulley rotates freely, bearing play, and clean V-groove",Weekly,Weekly,calendar,0.25,20,Bearing set; IPA wipes / cleaning cloth,Bottom Centering Pulley with Break Detector (SG Controls),4,Centering Pulley & break detector.pdf,BottomCenteringPulley_BreakDetector_Maintenance_Tracker_Template.xlsx
Cane / Rod Puller (Caterpillar),CP-MNT-001,Between runs: inspect & clean belts; remove glass debris,Per-Draw/Startup,Per-Draw/Startup,event,0,30,IPA wipes / cleaning cloth,Cane / Rod Puller Manual (Soreq),9,Cane Puller Manual_Soreq_rev-05-Aug-2020.pdf,CanePuller_Maintenance_Tracker_Template.xlsx
Cane / Rod Puller (Caterpillar),CP-MNT-002,"Periodic: check carriage movement, belt tension, and lubricate drive linkages",Routine,Routine,calendar,0,25,Light machine oil,Cane / Rod Puller Manual (Soreq),9,Cane Puller Manual_Soreq_rev-05-Aug-2020.pdf,CanePuller_Maintenance_Tracker_Template.xlsx
Cane Puller,ALGN-006,Align cane puller belts to fibre line; record micrometer baseline and offset for cane diameter,Routine,Routine,event,0,60,,Fibre Draw Tower Alignment Manual,13,Tower Alignment Manual.pdf,TowerAlignment_Maintenance_Tracker_Template.xlsx
Capstan,ALGN-002,Set capstan offset (nominal 50 mm) and mark/bolt capstan position,Routine,Routine,event,0,20,,Fibre Draw Tower Alignment Manual,6,Tower Alignment Manual.pdf,TowerAlignment_Maintenance_Tracker_Template.xlsx
Capstan System,CAP-MNT-002,Every 3 months: check bearings are not worn (sealed for life),3-Month,3-Month,calendar,3,15,Bearing set,Capstan Manual (Capstan V2),7,Capstan V2.pdf,Capstan_Maintenance_Tracker_Template.xlsx
Capstan System,CAP-MNT-003,As needed: adjust urethane belt tension (cam plate),On-Condition,On-Condition,event,0,20,Urethane belt; Drive belt,Capstan Manual (Capstan V2),7,Capstan V2.pdf,Capstan_Maintenance_Tracker_Template.xlsx
Capstan System,CAP-MNT-001,Before every run: clean pulleys + inspect belt + check surface + confirm belt tension,Per-Draw/Startup,Per-Draw/Startup,event,0,30,IPA wipes / cleaning cloth,Capstan Manual (Capstan V2),6,Capstan V2.pdf,Capstan_Maintenance_Tracker_Template.xlsx
Clean Air System (HEPA + Pre-filter + Fan Cabinet),CAS-MNT-004,Every 6 months: replace pre-filter; re-adjust speed control; replace HEPA if airflow remains incorrect,6-Month,6-Month,calendar,6,45,Pre-filter element; Pre-filter seal/gasket; HEPA filter element; HEPA gasket/seal; IPA wipes / cleaning cloth,Clean Air System (SG Controls),6,Clean Air System.pdf,CleanAirSystem_Maintenance_Tracker_Template.xlsx
Clean Air System (HEPA + Pre-filter + Fan Cabinet),CAS-MNT-003,"Monthly: inspect wear/damage, verify intakes clear, verify airflow uniform & at optimum; balance dampers",Monthly,Monthly,calendar,1,20,Pre-filter element; Pre-filter seal/gasket; IPA wipes / cleaning cloth,Clean Air System (SG Controls),5,Clean Air System.pdf,CleanAirSystem_Maintenance_Tracker_Template.xlsx
Clean Air System (HEPA + Pre-filter + Fan Cabinet),CAS-MNT-006,As needed: replace HEPA filter element (front face access; tighten nuts diagonally),On-Condition,On-Condition,event,0,45,Pre-filter element; Pre-filter seal/gasket; HEPA filter element; HEPA gasket/seal; IPA wipes / cleaning cloth,Clean Air System (SG Controls),7,Clean Air System.pdf,CleanAirSystem_Maintenance_Tracker_Template.xlsx
Clean Air System (HEPA + Pre-filter + Fan Cabinet),CAS-MNT-005,As needed: replace pre-filter element (with seal inspection and correct airflow direction),On-Condition,On-Condition,event,0,45,Pre-filter element; Pre-filter seal/gasket; HEPA filter element; HEPA gasket/seal; IPA wipes / cleaning cloth,Clean Air System (SG Controls),6,Clean Air System.pdf,CleanAirSystem_Maintenance_Tracker_Template.xlsx
Clean Air System (HEPA + Pre-filter + Fan Cabinet),CAS-MNT-001,Before drawing: ensure intake air temp matches tower environment; check clean air velocity (0.25–0.5 m/s),Per-Draw/Startup,Per-Draw/Startup,event,0,20,Pre-filter element; Pre-filter seal/gasket; IPA wipes / cleaning cloth,Clean Air System (SG Controls),3,Clean Air System.pdf,CleanAirSystem_Maintenance_Tracker_Template.xlsx
Clean Air System (HEPA + Pre-filter + Fan Cabinet),CAS-MNT-002,When switching on: confirm fibre position in bare fibre gauge window stays centered; correct if needed,Routine,Routine,event,0,20,Pre-filter element; Pre-filter seal/gasket; IPA wipes / cleaning cloth,Clean Air System (SG Controls),4,Clean Air System.pdf,CleanAirSystem_Maintenance_Tracker_Template.xlsx
Coated Fibre Diameter Gauge,ALGN-010,Align coated fibre diameter gauge to fibre line using tightened line,Routine,Routine,event,0,60,,Fibre Draw Tower Alignment Manual,21,Tower Alignment Manual.pdf,TowerAlignment_Maintenance_Tracker_Template.xlsx
Coating System (Resin Delivery Block),ALGN-007,Align coating resin delivery block to fibre line; record X/Y micrometer readings,Routine,Routine,event,0,60,Resin line seals; Resin line cleaning solvent,Fibre Draw Tower Alignment Manual,16,Tower Alignment Manual.pdf,TowerAlignment_Maintenance_Tracker_Template.xlsx
Concentricity Monitor,ALGN-008,Align concentricity monitor optics and laser aim to fibre line; fine-tune during draw,Routine,Routine,event,0,60,,Fibre Draw Tower Alignment Manual,18,Tower Alignment Manual.pdf,TowerAlignment_Maintenance_Tracker_Template.xlsx
Draw Tower – Alignment (overall),ALGN-011,Periodic verification: check fibre line alignment with tightened line through key stations,6-Month,6-Month,calendar,6,60,,Fibre Draw Tower Alignment Manual,3,Tower Alignment Manual.pdf,TowerAlignment_Maintenance_Tracker_Template.xlsx
Draw Tower – Alignment (overall),ALGN-001,Initial setup: establish fibre line using plumb line through furnace to datum pulley,Routine,Routine,event,0,20,,Fibre Draw Tower Alignment Manual,3,Tower Alignment Manual.pdf,TowerAlignment_Maintenance_Tracker_Template.xlsx
Dual Drum Winder,LUB-DDW-002,3‑monthly: grease drum bearing housings,3-Month,3-Month,calendar,3.0,25,Grease (NLGI-2),Generic Lubrication Schedule – Fibre Draw Tower (TD0141),9,Generic Lubrication Schedule.pdf,GenericLubrication_Maintenance_Tracker_Template.xlsx
Dual Drum Winder,LUB-DDW-001,"Monthly: lubricate clamps, guide pulleys, layering arm pulleys",Monthly,Monthly,calendar,1.0,25,Light machine oil,Generic Lubrication Schedule – Fibre Draw Tower (TD0141),9,Generic Lubrication Schedule.pdf,GenericLubrication_Maintenance_Tracker_Template.xlsx
General Tower Components,LUB-GEN-001,"Daily: cleanliness, smooth operation, pulley condition",Daily,Daily,calendar,0.03,20,IPA wipes / cleaning cloth,Generic Lubrication Schedule – Fibre Draw Tower (TD0141),6,Generic Lubrication Schedule.pdf,GenericLubrication_Maintenance_Tracker_Template.xlsx
General Tower Shafts & Slideways,LUB-GEN-002,Monthly: wipe bright shafts and slideways with light oil,Monthly,Monthly,calendar,1.0,20,Light machine oil,Generic Lubrication Schedule – Fibre Draw Tower (TD0141),6,Generic Lubrication Schedule.pdf,GenericLubrication_Maintenance_Tracker_Template.xlsx
Guide Pulley + Fibre Tension Gauge,TG-MNT-002,Monthly (or as required): check tension gauge calibration,Monthly,Monthly,calendar,1.0,60,,Guide Pulley & Tension Gauge (SG Controls),10,Guide Pulley & Tension Gauge.pdf,GuidePulley_TensionGauge_Maintenance_Tracker_Template.xlsx
Guide Pulley + Fibre Tension Gauge,TG-MNT-003,On-condition: return load cell to manufacturer if erratic / cannot calibrate,On-Condition,On-Condition,event,0.0,60,Load cell service/replacement,Guide Pulley & Tension Gauge (SG Controls),10,Guide Pulley & Tension Gauge.pdf,GuidePulley_TensionGauge_Maintenance_Tracker_Template.xlsx
Guide Pulley + Fibre Tension Gauge,TG-MNT-001,"Weekly: check pulley rotation, bearing play, and clean V-groove",Weekly,Weekly,calendar,0.25,20,"Bearing set, IPA wipes - small",Guide Pulley & Tension Gauge (SG Controls),10,Guide Pulley & Tension Gauge.pdf,GuidePulley_TensionGauge_Maintenance_Tracker_Template.xlsx
He Cooling System,ALGN-004,Align He cooling tube entry/exit orifices to fibre line; balance ram stops,Routine,Routine,event,0,60,,Fibre Draw Tower Alignment Manual,10,Tower Alignment Manual.pdf,TowerAlignment_Maintenance_Tracker_Template.xlsx
Helium Cooling System,LUB-HCS-001,Monthly: lubricate slide bearings on cooling tubes,Monthly,Monthly,calendar,1.0,25,Light machine oil,Generic Lubrication Schedule – Fibre Draw Tower (TD0141),7,Generic Lubrication Schedule.pdf,GenericLubrication_Maintenance_Tracker_Template.xlsx
Linear Dancer,LUB-LD-001,Monthly: lubricate dancer pulley spindles and bearings,Monthly,Monthly,calendar,1.0,25,Light machine oil,Generic Lubrication Schedule – Fibre Draw Tower (TD0141),8,Generic Lubrication Schedule.pdf,GenericLubrication_Maintenance_Tracker_Template.xlsx
Mini Capstan,MC-MNT-001,"Before use: inspect rollers, clean rollers, check speed control, check local/remote operation",Per-Draw/Startup,Per-Draw/Startup,event,0.0,30,IPA wipes / cleaning cloth,Mini Capstan (SG Controls),8,Mini Capstan.pdf,MiniCapstan_Maintenance_Tracker_Template.xlsx
Mini Capstan,ALGN-005,Align mini capstan pinch roller to fibre line (coarse + fine adjustment),Routine,Routine,event,0,60,,Fibre Draw Tower Alignment Manual,11,Tower Alignment Manual.pdf,TowerAlignment_Maintenance_Tracker_Template.xlsx
Mini Capstan,MC-MNT-002,"Weekly: inspect cleanliness, roller bearings, carriage bearings, glass embedment, lubricate, check pneumatic leaks",Weekly,Weekly,calendar,0.25,30,Light machine oil; IPA wipes / cleaning cloth,Mini Capstan (SG Controls),9,Mini Capstan.pdf,MiniCapstan_Maintenance_Tracker_Template.xlsx
Mini Capstan,LUB-MCAP-001,Weekly: lubricate carriage guides and roller bearings,Weekly,Weekly,calendar,0.25,25,Light machine oil,Generic Lubrication Schedule – Fibre Draw Tower (TD0141),7,Generic Lubrication Schedule.pdf,GenericLubrication_Maintenance_Tracker_Template.xlsx
Preform Feed Assembly,PF-MNT-005,3-monthly: grease ball screw,3-Month,3-Month,calendar,3.0,25,Grease (NLGI-2),Preform Feed Assembly (SG Controls),8,Preform Feed Assembly.pdf,PreformFeedAssembly_Maintenance_Tracker_Template.xlsx
Preform Feed Assembly,PF-MNT-004,3-monthly: grease linear rails,3-Month,3-Month,calendar,3.0,25,Grease (NLGI-2),Preform Feed Assembly (SG Controls),8,Preform Feed Assembly.pdf,PreformFeedAssembly_Maintenance_Tracker_Template.xlsx
Preform Feed Assembly,PF-MNT-003,3-monthly: lubricate X-Y slide bearings,3-Month,3-Month,calendar,3.0,25,Light machine oil,Preform Feed Assembly (SG Controls),8,Preform Feed Assembly.pdf,PreformFeedAssembly_Maintenance_Tracker_Template.xlsx
Preform Feed Assembly,PF-MNT-006,3-monthly: lubricate ball screw support bearings,3-Month,3-Month,calendar,3.0,25,Light machine oil,Preform Feed Assembly (SG Controls),8,Preform Feed Assembly.pdf,PreformFeedAssembly_Maintenance_Tracker_Template.xlsx
Preform Feed Assembly,PF-MNT-002,3-monthly: lubricate clamp moving parts,3-Month,3-Month,calendar,3.0,25,Light machine oil,Preform Feed Assembly (SG Controls),8,Preform Feed Assembly.pdf,PreformFeedAssembly_Maintenance_Tracker_Template.xlsx
Preform Feed Assembly,PF-MNT-001,Daily: inspect cleanliness and smooth operation of clamp and X-Y slides,Daily,Daily,calendar,0.03,30,IPA wipes / cleaning cloth,Preform Feed Assembly (SG Controls),8,Preform Feed Assembly.pdf,PreformFeedAssembly_Maintenance_Tracker_Template.xlsx
Preform Feed Module,LUB-PFM-001,3‑monthly: grease linear bearings and ball screw (if required),3-Month,3-Month,calendar,3.0,25,Grease (NLGI-2),Generic Lubrication Schedule – Fibre Draw Tower (TD0141),6,Generic Lubrication Schedule.pdf,GenericLubrication_Maintenance_Tracker_Template.xlsx
Preform Feed Module,LUB-PFM-002,6‑monthly: lubricate actuator O‑ring seals,6-Month,6-Month,calendar,6.0,25,Light machine oil,Generic Lubrication Schedule – Fibre Draw Tower (TD0141),6,Generic Lubrication Schedule.pdf,GenericLubrication_Maintenance_Tracker_Template.xlsx
Pressurised Coating System,LUB-PCS-001,Monthly: lubricate applicator gimbals and X‑Y adjustment mechanism,Monthly,Monthly,calendar,1.0,25,Applicator seal kit; Light machine oil,Generic Lubrication Schedule – Fibre Draw Tower (TD0141),7,Generic Lubrication Schedule.pdf,GenericLubrication_Maintenance_Tracker_Template.xlsx
Take Up Winder,TUW-MNT-002,Every 3 months: grease rotating shaft; wipe & grease guide rails (thin film only),3-Month,3-Month,calendar,3,25,Grease (NLGI-2),Take Up Winder (Traversing Drum Type),6,Take Up Winder.pdf,TakeUpWinder_Maintenance_Tracker_Template.xlsx
Take Up Winder,TUW-MNT-003,Every 6 months: inspect drive train (belt tension + contamination/wear/damage),6-Month,6-Month,calendar,6,20,Drive belt,Take Up Winder (Traversing Drum Type),6,Take Up Winder.pdf,TakeUpWinder_Maintenance_Tracker_Template.xlsx
Take Up Winder,TUW-MNT-001,Before every run/start-up: remove fibre debris; inspect & clean drum surface,Per-Draw/Startup,Per-Draw/Startup,event,0,30,IPA wipes / cleaning cloth,Take Up Winder (Traversing Drum Type),6,Take Up Winder.pdf,TakeUpWinder_Maintenance_Tracker_Template.xlsx
UV Curing System,UV-MNT-003,"Every 500 operating hours: clean lamp module, reflector, bulb and RF screen",3-Month,3-Month,hours,3,20,UV lamp cleaning kit; Optics wipes; IPA wipes / cleaning cloth,Ultra Violet Curing System – F600S / I606 / P600M,12,Ultra Violet Curing System.pdf,UV_CuringSystem_Maintenance_Tracker_Template.xlsx
UV Curing System,UV-MNT-003,Module surface + optics cleaning,3-Month,3-Month,hours,3,20,UV lamp cleaning kit; Optics wipes; IPA wipes / cleaning cloth,Ultra Violet Curing System (F600S - I606/P600M) Manual,12,Ultra Violet Curing System.pdf,UV_Maintenance_Tracker_Template.xlsx
UV Curing System,UV-MNT-004,PSU dust removal + filter check,3-Month,3-Month,calendar,3,15,Air filter element,Ultra Violet Curing System (F600S - I606/P600M) Manual,12,Ultra Violet Curing System.pdf,UV_Maintenance_Tracker_Template.xlsx
UV Curing System,LUB-UV-001,Monthly: lubricate UV lamp VAM pivot hinges,Monthly,Monthly,calendar,1.0,25,Light machine oil,Generic Lubrication Schedule – Fibre Draw Tower (TD0141),8,Generic Lubrication Schedule.pdf,GenericLubrication_Maintenance_Tracker_Template.xlsx
UV Curing System,UV-MNT-001,Before every start-up: clean shutters and quartz liner tube,Per-Draw/Startup,Per-Draw/Startup,event,0,20,IPA wipes / cleaning cloth,Ultra Violet Curing System – F600S / I606 / P600M,11,Ultra Violet Curing System.pdf,UV_CuringSystem_Maintenance_Tracker_Template.xlsx
UV Curing System,UV-MNT-001,Start-up inspection & cleaning,Per-Draw/Startup,Per-Draw/Startup,event,0,30,IPA wipes / cleaning cloth,Ultra Violet Curing System (F600S - I606/P600M) Manual,11,Ultra Violet Curing System.pdf,UV_Maintenance_Tracker_Template.xlsx
UV Curing System,UV-MNT-002,After full preform draw: inspect quartz liner tube for discolouration (replace if needed),Routine,Routine,event,0,45,Quartz liner tube,Ultra Violet Curing System – F600S / I606 / P600M,12,Ultra Violet Curing System.pdf,UV_CuringSystem_Maintenance_Tracker_Template.xlsx
UV Curing System,ALGN-009,Align UV lamp entry/exit irises to fibre line (hexapod turnbuckles),Routine,Routine,event,0,60,,Fibre Draw Tower Alignment Manual,20,Tower Alignment Manual.pdf,TowerAlignment_Maintenance_Tracker_Template.xlsx
UV Curing System,UV-MNT-002,Quartz tube discoloration check,Routine,Routine,event,0,15,Quartz liner tube,Ultra Violet Curing System (F600S - I606/P600M) Manual,12,Ultra Violet Curing System.pdf,UV_Maintenance_Tracker_Template.xlsx
UV Curing System – PSU,UV-MNT-004,Every 3 months: remove dust from PSU units and replace air filters if required,3-Month,3-Month,calendar,3,45,Air filter element,Ultra Violet Curing System – F600S / I606 / P600M,12,Ultra Violet Curing System.pdf,UV_CuringSystem_Maintenance_Tracker_Template.xlsx
Wet-on-Dry Coating System,WOD-MNT-003,Delivery block purge before fitting cleaned applicator,Per-Draw/Startup,Per-Draw/Startup,event,0.0,20,Applicator seal kit; IPA wipes / cleaning cloth; Purge gas / line flush consumables,Wet on Dry Coating System Manual (Soreq),27,Wet on Dry Coating System Manual_Soreq_FINAL.pdf,WOD_Maintenance_Tracker_Template.xlsx
Wet-on-Dry Coating System,WOD-MNT-001,Resin level & vessel cleanliness check,Per-Draw/Startup,Per-Draw/Startup,event,0.0,20,Resin line seals; Resin line cleaning solvent; IPA wipes / cleaning cloth,Wet on Dry Coating System Manual (Soreq),31,Wet on Dry Coating System Manual_Soreq_FINAL.pdf,WOD_Maintenance_Tracker_Template.xlsx
Wet-on-Dry Coating System,WOD-MNT-008,Applicator alignment to tower axis check,Routine,Routine,calendar,0.0,60,Applicator seal kit,Wet on Dry Coating System Manual (Soreq),31,Wet on Dry Coating System Manual_Soreq_FINAL.pdf,WOD_Maintenance_Tracker_Template.xlsx
Wet-on-Dry Coating System,WOD-MNT-005,Applicator/delivery block levelness check,Routine,Routine,calendar,0.0,15,Applicator seal kit,Wet on Dry Coating System Manual (Soreq),31,Wet on Dry Coating System Manual_Soreq_FINAL.pdf,WOD_Maintenance_Tracker_Template.xlsx
Wet-on-Dry Coating System,WOD-MNT-004,End-of-draw housekeeping,Routine,Routine,event,0.0,20,,Wet on Dry Coating System Manual (Soreq),26,Wet on Dry Coating System Manual_Soreq_FINAL.pdf,WOD_Maintenance_Tracker_Template.xlsx
Wet-on-Dry Coating System,WOD-MNT-002,Resin line purge after refill / dip-tube exposure,Routine,Routine,event,0.0,25,Resin line seals; Resin line cleaning solvent; Purge gas / line flush consumables,Wet on Dry Coating System Manual (Soreq),32,Wet on Dry Coating System Manual_Soreq_FINAL.pdf,WOD_Maintenance_Tracker_Template.xlsx
Wet-on-Dry Coating System,WOD-MNT-007,Water circuit checks (weekly) + flush (annual),Weekly,Weekly,calendar,0.25,15,,Wet on Dry Coating System Manual (Soreq),33,Wet on Dry Coating System Manual_Soreq_FINAL.pdf,WOD_Maintenance_Tracker_Template.xlsx
Wet-on-Dry Coating System,WOD-MNT-006,Weekly: joints leakage check + line purge + cleaning,Weekly,Weekly,calendar,0.25,20,IPA wipes / cleaning cloth; Purge gas / line flush consumables,Wet on Dry Coating System Manual (Soreq),32,Wet on Dry Coating System Manual_Soreq_FINAL.pdf,WOD_Maintenance_Tracker_Template.xlsx
